o homem;the man
a destruição;the destruction
a continuidade;the continuity
o símbolo;the symbol
a vigilância;the surveillance
a confusão;the confusion
a descrição;the description
a ilusão;the illusion
o perfil;the profile
a fama;the fame
a facilidade;the ease
a maneira;the manner
o dano;the damage
a responsabilidade;the responsibility
o desaparecimento;the disappearance
a condição;the condition
a razão;the reason
a função;the function
a chave;the key
o ataque;the attack
o detalhe;the detail
a questão;the question
o relatório;the report
a reação;the reaction
a força;the force
a ideia;the idea
a figura;the figure
o resto;the rest
a causa;the cause
a parte;the part
a batalha;the battle
talvez;perhaps
o ponto;the point
a análise;the analysis
a ciência;the science
o conceito;the concept
a teoria;the theory
a superfície;the surface
a tecnologia;the technology
a velocidade;the speed
o método;the method
o volume;the volume
a temperatura;the temperature
o elemento;the element
a filosofia;the philosophy
o equilíbrio;the balance
o limite;the limit
o cientista;the scientist
a fórmula;the formula
a hipótese;the hypothesis
a tese;the thesis
a substância;the substance
o laboratório;the laboratory
a profundidade;the depth
a proporção;the proportion
a descoberta;the discovery
a observação;the observation
o núcleo;the nucleus
a potência;the potency
o futuro;the future
a biologia;the biology
o perito;the expert
a invenção;the invention
a matemática;the mathematics
a física;the physics
o plástico;the plastic
a prova;the proof
a pesquisa;the research
pesquisar;to research
a estatística;the statistic
o fenômeno;the phenomenon
a energia;the energy
a conversa;the conversation
a imprensa;the press
a palavra;the word
o artigo;the article
a linguagem;the language
o telefonema;the phone call
a mensagem;the message
a notícia;the news
o argumento;the argument
o segredo;the secret
o comunicado;the communication
o contato;the contact
o grito;the shout
o comentário;the comment
a internet;the Internet
o silêncio;the silence
a frase;the phrase
a entrevista;the interview
o endereço;the Address
o cabo;the cable
o apelo;the appeal
o postal;the postal
o selo;the seal
a manchete;the headline
o convite;the invitation
o correio;the mail
o bilhete;the ticket
anotar;to take note
imprimir;to print
o rádio;the radio
a tradução;the translation
a difusão;the diffusion
o entendimento;the understanding
a interpretação;the interpretation
a publicidade;the advertising
o barulho;the noise
a síntese;the synthesis
a agência;the agency
a torre;the tower
a flor;the flower
a árvore;the tree
o céu;the sky
o rio;the river
a lua;the moon
o sol;the sun
o mundo;the world
a chuva;the rain
o fogo;the fire
a terra;the soil
o ar;the air
a natureza;the nature
a espécie;the species
a evolução;the evolution
o calor;the heat
a madeira;the wood
a pedra;the stone
a célula;the cell
o universo;the universe
o clima;the climate
o gás;the gas
o planeta;the planet
o cérebro;the brain
a paisagem;the landscape
a montanha;the mountain
a raiz;the root
a floresta;the forest
o osso;the bone
o ambiente;the environment
a planta;the plant
a estrela;the star
o vento;the wind
o espaço;the space
a rosa;the rose
a areia;the sand
o raio;the lightning
a nuvem;the cloud
a eletricidade;the electricity
a neblina;the fog
o lago;the lake
a rocha;the rock
o mar;the sea
a neve;the snow
nevar;to snow
o temporal;the storm
a cachoeira;the waterfall
a conservação;the conservation
o litoral;the coast
a oferta;the offer
o negócio;the business
o contrato;the contract
o interesse;the interest
a taxa;the fee
o comércio;the commerce
o preço;the price
a indústria;the industry
a venda;the sale
a dívida;the debt
o crédito;the credit
a promoção;the promotion
a fortuna;the fortune
o financiamento;the financing
o custo;the cost
o produto;the product
o anúncio;the advertisement
a consulta;the consultation
a conta;the account
o cartão;the card
a chance;the chance
o cliente;the client
o desconto;the discount
o Euro;the Euro
a fábrica;the factory
a administração;the administration
a ordem;the order
a organização;the organization
o pagamento;the payment
o produção;the production
alugar;to rent
o recurso;the resource
o salário;the salary
o vendedor;the salesman
o serviço;the service
a loja;the store
o pessoal;the staff
o imposto;the tax
a tendência;the trend
a diminuição;the decrease
a expansão;the expansion
a integração;the integration
o rival;the rival
o porto;the port
o investimento;the investment
a crise;the crisis
a economia;the economy
o petróleo;the petroleum
econômico;economical
a vida;the life
o deus;the god
o espírito;the spirit
a alma;the soul
a fé;the faith
o anjo;the angel
a religião;the religion
católico;catholic
religioso;religious
a graça;the grace
o Natal;the Christmas
a crença;the belief
a catedral;the cathedral
a morte;the death
o fantasma;the ghost
a mesquita;the mosque
a reza;the prayer
a libertação;the release
a reflexão;the reflection
o signo;the sign
o destino;the destiny
o governo;the government
o presidente;the president
a guerra;the war
o ministro;the minister
o segurança;the security guard
o político;the politician
o congresso;the congress
a justiça;the justice
o ministério;the ministry
o exército;the army
a campanha;the campaign
a democracia;the democracy
a oposição;the opposition
socialista;socialist
a violência;the violence
a constituição;the constitution
o líder;the leader
o prefeito;the mayor
o discurso;the speech
municipal;municipal
a declaração;the declaration
federal;federal
o diálogo;the dialogue
o candidato;the candidate
a presidência;the presidency
a prefeitura;the city hall
o orçamento;the budget
a estratégia;the strategy
o governador;the governor
a aliança;the alliance
democrático;democratic
a corrupção;the corruption
a negociação;the negotiation
a cooperação;the cooperation
a solidariedade;the solidarity
comunista;communist
estatal;state-owned
a agricultura;the agriculture
o déficit;the deficit
presidencial;presidential
o embaixador;the ambassador
a pobreza;the poverty
a estabilidade;the stability
a riqueza;the wealth
o inflação;the inflation
a aprovação;the approval
a lei;the law
o senador;the senator
institucional;institutional
eleitoral;electoral
a base;the base
o general;the general
o projeto;the project
a diplomacia;the diplomacy
político;political
o estado;the state
o voto;the vote
votar;to vote
o escândalo;the scandal
a igualdade;the equality
o prestígio;the prestige
a transição;the transition
a independência;the independence
o partido político;the political party
Bom dia;Good morning
Boa tarde;Good afternoon
Boa noite;Good evening
Tem certeza?;Are you sure?
Vá em frente;Go ahead
Que dia bonito!;What a nice day!
Que horas são?;What time is it?
Você quer um pouco de água?;Would you like some water?
Você poderia me ajudar a lavar a louça?;Could you help me to wash the dishes?
Está muito quente hoje!;It’s too hot today!
Você quer vir aqui e jogar um pouco de videogame?;Would you like to come over and play some videogame?
Eu tenho que ir ao supermercado;I have to go to the supermarket
Você quer ver um filme?;Would you like to watch a movie?
Você está acordado?;Are you awake?
Que dia é hoje?;What day is it today?
Eu estou me sentindo doente hoje;I’m feeling sick today
Estou indo um pouco atrasado;I’m running a little late
O que você gostaria para o jantar?;What would you like for dinner?
Eu vou tomar um banho e ir para a cama;I’m going to take a shower and go to bedEu tenho que acordar às 7 horas;I have to wake up at 7
Estou muito cansado;I’m too tired
Eu vou para a cama;I’m going to bed
Boa noite. Bons sonhos;Good night. Sweet dreams
O que tem para o café da manhã hoje?;What’s for breakfast today?
Eu não dormi muito bem, eu tive um pesadelo;I didn’t sleep very well, I had a bad dream
Como foi a escola hoje?;How was school today?
Eu fiz uma prova e me saí bem;I took an exam and did well
Você poderia arrumar a mesa, por favor?;Could you set the table, please?
Estou com fome;I’m hungry
Você gosta de viajar?;Do you like to travel?
O almoço está pronto?;Is lunch ready?
Você pode ligar a luz?;Can you switch the light on?
O que você gostaria de fazer esta noite?;What would you like to do this evening?
Você alimentou o cachorro?;Have you fed the dog?
Você gosta de animais?;Do you like animals?
Eu preciso ir pra casa;I need to go home
Como foi seu dia?;How was your day?
Eu estarei no meu quarto;I’ll be in my room
Tem alguma coisa boa na TV?;Is there anything good on TV?
Você já viu esse filme?;Have you seen this movie?
Vai fazer alguma coisa esta noite?;Are you up to anything this evening?
Você quer pedir alguma coisa para comer?;Do you want to order something to eat?
Você gosta de hambúrguer?;Do you like hamburguer?
Posso entrar?;May I come in?
Como foi o seu fim-de-semana?;How was your weekend?
Não faço ideia;I have no idea
Não importa;It doesn’t matter
Estou com pressa;I’m in a hurry
Estou de saída;I’m leaving
Estou de férias;I’m on vacation
Fica para a próxima;Maybe some other time
De licença;On leave
Por outro lado…;On the other hand…
Estou indo resolver uma situação desastrosa;I’m going to save the day
Obrigado;Thank you
De nada;You’re welcome
Tome cuidado;Be careful
Você pode traduzir isso para mim?;Can you translate this for me?
Não se preocupe;Don’t worry
Todo mundo sabe isso;Everyone knows it
Como você está hoje?;How are you today?
Eu te desejo sorte!;I wish you Lucky
Está tudo pronto;Everything is ready
Você pode falar mais devagar?;Can you speak slower?
Boa ideia!;Good idea!
Socorro!;Help!
Ele volta logo!;He’s coming soon
Ela está certa;She is right
Deixe-me pensar…;Let me think…
Ele é muito famoso;He is very famous
Como vai o trabalho?;How is work going?
Eu já comi;I already ate
Eu não consigo te ouvir;I can’t hear you
Eu não consigo  compreender isso!;I can’t understand this!
Eu não gosto dele;I don’t like him
Eu não me sinto confortável com isso!;I don’t feel confortable with that!
Eu não falo muito bem;I don’t speak very well
Eu não quero isso!;I don’t want that!
Eu não quero te incomodar;I don’t want to bother you
Eu me sinto bem;I feel good
Eu espero que você e tua esposa tenham uma boa viagem;I hope you and your wife have a nice trip
Se você precisa da minha ajuda, por favor, me diga;If you need my help, please let me know
Eu saio do trabalho às 6;I get off of work at 6
Não, obrigado;No, thank you
Sim, obrigado;Yes, thank you
Eu tenho dor de cabeça;I have a headache
Eu volto mais tarde;I’ll come back later
Eu fico com alguma coisa;I’ll take it
Eu te levo ao ponto de ônibus;I’ll take you to the bus stop
Eu amo você;I love you
Eu sou brasileiro;I’m brazilian
Só um momento;Just a moment
Eu estou indo te buscar;I’m coming to pick you up
Eu vou sair;I’m going to leave
Eu estou bem, e você?;I’m good, and you?
Estou feliz;I’m happy
Estou com fome;I’m hungry
Sou casado;I’m married
Eu não estou ocupado;I’m not busy
Eu não sou casado;I’m not married
Eu ainda não estou pronto;I’m not ready yet
Eu não tenho certeza;I’m not sure
Vamos praticar inglês;Let’s practice English
